Infinitive,вы́сказать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́сказавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сказанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́сказав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́сказавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́скажу
2nd Sing,вы́скажешь
3rd Sing,вы́скажет
1st Pl,вы́скажем
2nd Pl,вы́скажете
3rd Pl,вы́скажут
Past M,вы́сказал
Past F,вы́сказала
Past N,вы́сказало
Past PL,вы́сказали
Imp S,вы́скажи
Imp PL,вы́скажите
