Infinitive,вы́честь
Zaliznyak Class,7a⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́чтенный
PART:0:Participle Type,passive
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́чтя
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́чту
2nd Sing,вы́чтешь
3rd Sing,вы́чтет
1st Pl,вы́чтем
2nd Pl,вы́чтете
3rd Pl,вы́чтут
Past M,вы́чел
Past F,вы́чла
Past N,вы́чло
Past PL,вы́чли
Imp S,вы́чти
Imp PL,вы́чтите
