Infinitive,вы́плюнуть
Zaliznyak Class,3a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́плюнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́плюнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́плюнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́плюнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́плюну
2nd Sing,вы́плюнешь
3rd Sing,вы́плюнет
1st Pl,вы́плюнем
2nd Pl,вы́плюнете
3rd Pl,вы́плюнут
Past M,вы́плюнул
Past F,вы́плюнула
Past N,вы́плюнуло
Past PL,вы́плюнули
Imp S,вы́плюни
Imp PL,вы́плюньте
