Infinitive,вы́гнать
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́гнавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́гнав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́гнавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́гоню
2nd Sing,вы́гонишь
3rd Sing,вы́гонит
1st Pl,вы́гоним
2nd Pl,вы́гоните
3rd Pl,вы́гонят
Past M,вы́гнал
Past F,вы́гнала
Past N,вы́гнало
Past PL,вы́гнали
Imp S,вы́гони
Imp PL,вы́гоните
