Infinitive,вы́дохнуться
Zaliznyak Class,3°a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́дохшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́дохшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́дохнусь
2nd Sing,вы́дохнешься
3rd Sing,вы́дохнется
1st Pl,вы́дохнемся
2nd Pl,вы́дохнетесь
3rd Pl,вы́дохнутся
Past M,вы́дохся
Past F,вы́дохлась
Past N,вы́дохлось
Past PL,вы́дохлись
Imp S,вы́дохнись
Imp PL,вы́дохнитесь
