Infinitive,вы́красить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́красивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́крашенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́красив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́красивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́крашу
2nd Sing,вы́красишь
3rd Sing,вы́красит
1st Pl,вы́красим
2nd Pl,вы́красите
3rd Pl,вы́красят
Past M,вы́красил
Past F,вы́красила
Past N,вы́красило
Past PL,вы́красили
Imp S,вы́краси
Imp PL,вы́красьте
