Infinitive,вы́зволить
Zaliznyak Class,4a③
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́зволивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́зволенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́зволив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́зволивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́зволю
2nd Sing,вы́зволишь
3rd Sing,вы́зволит
1st Pl,вы́зволим
2nd Pl,вы́зволите
3rd Pl,вы́зволят
Past M,вы́зволил
Past F,вы́зволила
Past N,вы́зволило
Past PL,вы́зволили
Imp S,вы́зволи
Imp PL,вы́звольте
