Infinitive,вы́двинуть
Zaliznyak Class,3a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́двинувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́двинутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́двинув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́двинувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́двину
2nd Sing,вы́двинешь
3rd Sing,вы́двинет
1st Pl,вы́двинем
2nd Pl,вы́двинете
3rd Pl,вы́двинут
Past M,вы́двинул
Past F,вы́двинула
Past N,вы́двинуло
Past PL,вы́двинули
Imp S,вы́двини
Imp PL,вы́двиньте
