Infinitive,вы́кинуть
Zaliznyak Class,3a②
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́кинувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́кинутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́кинув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́кинувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́кину
2nd Sing,вы́кинешь
3rd Sing,вы́кинет
1st Pl,вы́кинем
2nd Pl,вы́кинете
3rd Pl,вы́кинут
Past M,вы́кинул
Past F,вы́кинула
Past N,вы́кинуло
Past PL,вы́кинули
Imp S,вы́кинь
Imp PL,вы́киньте
