Infinitive,вы́сказаться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́сказавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сказавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́скажусь
2nd Sing,вы́скажешься
3rd Sing,вы́скажется
1st Pl,вы́скажемся
2nd Pl,вы́скажетесь
3rd Pl,вы́скажутся
Past M,вы́сказался
Past F,вы́сказалась
Past N,вы́сказалось
Past PL,вы́сказались
Imp S,вы́скажись
Imp PL,вы́скажитесь
