Infinitive,вы́точить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́точивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́точенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́точив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́точивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́точу
2nd Sing,вы́точишь
3rd Sing,вы́точит
1st Pl,вы́точим
2nd Pl,вы́точите
3rd Pl,вы́точат
Past M,вы́точил
Past F,вы́точила
Past N,вы́точило
Past PL,вы́точили
Imp S,вы́точи
Imp PL,вы́точите
