Infinitive,выпрямля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выпрямля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выпрямля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выпрямля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выпрямля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выпрямля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выпрямля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выпрямля́ю
2nd Sing,выпрямля́ешь
3rd Sing,выпрямля́ет
1st Pl,выпрямля́ем
2nd Pl,выпрямля́ете
3rd Pl,выпрямля́ют
Past M,выпрямля́л
Past F,выпрямля́ла
Past N,выпрямля́ло
Past PL,выпрямля́ли
Imp S,выпрямля́й
Imp PL,выпрямля́йте
