Infinitive,вылива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вылива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вылива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вылива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вылива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вылива́юсь
2nd Sing,вылива́ешься
3rd Sing,вылива́ется
1st Pl,вылива́емся
2nd Pl,вылива́етесь
3rd Pl,вылива́ются
Past M,вылива́лся
Past F,вылива́лась
Past N,вылива́лось
Past PL,вылива́лись
Imp S,вылива́йся
Imp PL,вылива́йтесь
