Infinitive,вы́волочь
Zaliznyak Class,8a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́волокший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́волоченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́волокши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́волоку
2nd Sing,вы́волочешь
3rd Sing,вы́волочет
1st Pl,вы́волочем
2nd Pl,вы́волочете
3rd Pl,вы́волокут
Past M,вы́волок
Past F,вы́волокла
Past N,вы́волокло
Past PL,вы́волокли
Imp S,вы́волоки
Imp PL,вы́волоките
