Infinitive,вы́зваться
Zaliznyak Class,6°a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́звавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́звавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́зовусь
2nd Sing,вы́зовешься
3rd Sing,вы́зовется
1st Pl,вы́зовемся
2nd Pl,вы́зоветесь
3rd Pl,вы́зовутся
Past M,вы́звался
Past F,вы́звалась
Past N,вы́звалось
Past PL,вы́звались
Imp S,вы́зовись
Imp PL,вы́зовитесь
