Infinitive,вы́толкнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́толкнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́толкнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́толкнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́толкнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́толкну
2nd Sing,вы́толкнешь
3rd Sing,вы́толкнет
1st Pl,вы́толкнем
2nd Pl,вы́толкнете
3rd Pl,вы́толкнут
Past M,вы́толкнул
Past F,вы́толкнула
Past N,вы́толкнуло
Past PL,вы́толкнули
Imp S,вы́толкни
Imp PL,вы́толкните
