Infinitive,вы́топтать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́топтавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́топтанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́топтав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́топтавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́топчу
2nd Sing,вы́топчешь
3rd Sing,вы́топчет
1st Pl,вы́топчем
2nd Pl,вы́топчете
3rd Pl,вы́топчут
Past M,вы́топтал
Past F,вы́топтала
Past N,вы́топтало
Past PL,вы́топтали
Imp S,вы́топчи
Imp PL,вы́топчите
