Infinitive,вы́сушить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́сушивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сушенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́сушив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́сушивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́сушу
2nd Sing,вы́сушишь
3rd Sing,вы́сушит
1st Pl,вы́сушим
2nd Pl,вы́сушите
3rd Pl,вы́сушат
Past M,вы́сушил
Past F,вы́сушила
Past N,вы́сушило
Past PL,вы́сушили
Imp S,вы́суши
Imp PL,вы́сушите
