Infinitive,вы́светить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́светивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́свеченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́светив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́светивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́свечу
2nd Sing,вы́светишь
3rd Sing,вы́светит
1st Pl,вы́светим
2nd Pl,вы́светите
3rd Pl,вы́светят
Past M,вы́светил
Past F,вы́светила
Past N,вы́светило
Past PL,вы́светили
Imp S,вы́свети
Imp PL,вы́светите
