Infinitive,вы́быть
Zaliznyak Class,irreg-a/a①
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́бывший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́быв
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́бывши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́буду
2nd Sing,вы́будешь
3rd Sing,вы́будет
1st Pl,вы́будем
2nd Pl,вы́будете
3rd Pl,вы́будут
Past M,вы́был
Past F,вы́была
Past N,вы́было
Past PL,вы́были
Imp S,вы́будь
Imp PL,вы́будьте
