Infinitive,вы́сечь
Zaliznyak Class,8a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́секший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сеченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́секши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́секу
2nd Sing,вы́сечешь
3rd Sing,вы́сечет
1st Pl,вы́сечем
2nd Pl,вы́сечете
3rd Pl,вы́секут
Past M,вы́сек
Past F,вы́секла
Past N,вы́секло
Past PL,вы́секли
Imp S,вы́секи
Imp PL,вы́секите
