Infinitive,вы́лепить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́лепивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́лепленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́лепив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́лепивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́леплю
2nd Sing,вы́лепишь
3rd Sing,вы́лепит
1st Pl,вы́лепим
2nd Pl,вы́лепите
3rd Pl,вы́лепят
Past M,вы́лепил
Past F,вы́лепила
Past N,вы́лепило
Past PL,вы́лепили
Imp S,вы́лепи
Imp PL,вы́лепите
