Infinitive,вы́хватить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́хвативший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́хваченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́хватив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́хвативши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́хвачу
2nd Sing,вы́хватишь
3rd Sing,вы́хватит
1st Pl,вы́хватим
2nd Pl,вы́хватите
3rd Pl,вы́хватят
Past M,вы́хватил
Past F,вы́хватила
Past N,вы́хватило
Past PL,вы́хватили
Imp S,вы́хвати
Imp PL,вы́хватите
