Infinitive,вы́садиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́садившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́садившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́сажусь
2nd Sing,вы́садишься
3rd Sing,вы́садится
1st Pl,вы́садимся
2nd Pl,вы́садитесь
3rd Pl,вы́садятся
Past M,вы́садился
Past F,вы́садилась
Past N,вы́садилось
Past PL,вы́садились
Imp S,вы́садись
Imp PL,вы́садитесь
