Infinitive,вы́пилить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́пиливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́пиленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́пилив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́пиливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́пилю
2nd Sing,вы́пилишь
3rd Sing,вы́пилит
1st Pl,вы́пилим
2nd Pl,вы́пилите
3rd Pl,вы́пилят
Past M,вы́пилил
Past F,вы́пилила
Past N,вы́пилило
Past PL,вы́пилили
Imp S,вы́пили
Imp PL,вы́пилите
