Infinitive,вы́ступить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́ступивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ступив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́ступивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́ступлю
2nd Sing,вы́ступишь
3rd Sing,вы́ступит
1st Pl,вы́ступим
2nd Pl,вы́ступите
3rd Pl,вы́ступят
Past M,вы́ступил
Past F,вы́ступила
Past N,вы́ступило
Past PL,вы́ступили
Imp S,вы́ступи
Imp PL,вы́ступите
