Infinitive,вы́дворить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́дворивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́дворенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́дворив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́дворивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́дворю
2nd Sing,вы́дворишь
3rd Sing,вы́дворит
1st Pl,вы́дворим
2nd Pl,вы́дворите
3rd Pl,вы́дворят
Past M,вы́дворил
Past F,вы́дворила
Past N,вы́дворило
Past PL,вы́дворили
Imp S,вы́двори
Imp PL,вы́дворите
