Infinitive,вы́явиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́явившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́явившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́явлюсь
2nd Sing,вы́явишься
3rd Sing,вы́явится
1st Pl,вы́явимся
2nd Pl,вы́явитесь
3rd Pl,вы́явятся
Past M,вы́явился
Past F,вы́явилась
Past N,вы́явилось
Past PL,вы́явились
Imp S,вы́явись
Imp PL,вы́явитесь
