Infinitive,вы́брать
Zaliznyak Class,6°a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́бравший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́брав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́бравши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́беру
2nd Sing,вы́берешь
3rd Sing,вы́берет
1st Pl,вы́берем
2nd Pl,вы́берете
3rd Pl,вы́берут
Past M,вы́брал
Past F,вы́брала
Past N,вы́брало
Past PL,вы́брали
Imp S,вы́бери
Imp PL,вы́берите
