Infinitive,вы́лечить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́лечивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́леченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́лечив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́лечивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́лечу
2nd Sing,вы́лечишь
3rd Sing,вы́лечит
1st Pl,вы́лечим
2nd Pl,вы́лечите
3rd Pl,вы́лечат
Past M,вы́лечил
Past F,вы́лечила
Past N,вы́лечило
Past PL,вы́лечили
Imp S,вы́лечи
Imp PL,вы́лечите
