Infinitive,вы́порхнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́порхнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́порхнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́порхнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́порхну
2nd Sing,вы́порхнешь
3rd Sing,вы́порхнет
1st Pl,вы́порхнем
2nd Pl,вы́порхнете
3rd Pl,вы́порхнут
Past M,вы́порхнул
Past F,вы́порхнула
Past N,вы́порхнуло
Past PL,вы́порхнули
Imp S,вы́порхни
Imp PL,вы́порхните
