Infinitive,вы́проводить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́проводивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́провоженный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́проводив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́проводивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́провожу
2nd Sing,вы́проводишь
3rd Sing,вы́проводит
1st Pl,вы́проводим
2nd Pl,вы́проводите
3rd Pl,вы́проводят
Past M,вы́проводил
Past F,вы́проводила
Past N,вы́проводило
Past PL,вы́проводили
Imp S,вы́проводи
Imp PL,вы́проводите
