Infinitive,вы́потрошить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́потрошивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́потрошенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́потрошив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́потрошивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́потрошу
2nd Sing,вы́потрошишь
3rd Sing,вы́потрошит
1st Pl,вы́потрошим
2nd Pl,вы́потрошите
3rd Pl,вы́потрошат
Past M,вы́потрошил
Past F,вы́потрошила
Past N,вы́потрошило
Past PL,вы́потрошили
Imp S,вы́потроши
Imp PL,вы́потрошите
