Infinitive,вы́гореть
Zaliznyak Class,5a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́горевший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́горев
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́горевши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́горю
2nd Sing,вы́горишь
3rd Sing,вы́горит
1st Pl,вы́горим
2nd Pl,вы́горите
3rd Pl,вы́горят
Past M,вы́горел
Past F,вы́горела
Past N,вы́горело
Past PL,вы́горели
Imp S,вы́гори
Imp PL,вы́горите
