Infinitive,вы́драть
Zaliznyak Class,6°a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́дравший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́дранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́драв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́дравши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́деру
2nd Sing,вы́дерешь
3rd Sing,вы́дерет
1st Pl,вы́дерем
2nd Pl,вы́дерете
3rd Pl,вы́дерут
Past M,вы́драл
Past F,вы́драла
Past N,вы́драло
Past PL,вы́драли
Imp S,вы́дери
Imp PL,вы́дерите
