Infinitive,вы́пустить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́пустивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́пущенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́пустив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́пустивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́пущу
2nd Sing,вы́пустишь
3rd Sing,вы́пустит
1st Pl,вы́пустим
2nd Pl,вы́пустите
3rd Pl,вы́пустят
Past M,вы́пустил
Past F,вы́пустила
Past N,вы́пустило
Past PL,вы́пустили
Imp S,вы́пусти
Imp PL,вы́пустите
