Infinitive,вы́ровнять
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ровнявший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ровненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ровняв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ровнявши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ровняю
2nd Sing,вы́ровняешь
3rd Sing,вы́ровняет
1st Pl,вы́ровняем
2nd Pl,вы́ровняете
3rd Pl,вы́ровняют
Past M,вы́ровнял
Past F,вы́ровняла
Past N,вы́ровняло
Past PL,вы́ровняли
Imp S,вы́ровняй
Imp PL,вы́ровняйте
