Infinitive,выша́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выша́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выша́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выша́гиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выша́гивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выша́гивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выша́гивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выша́гиваю
2nd Sing,выша́гиваешь
3rd Sing,выша́гивает
1st Pl,выша́гиваем
2nd Pl,выша́гиваете
3rd Pl,выша́гивают
Past M,выша́гивал
Past F,выша́гивала
Past N,выша́гивало
Past PL,выша́гивали
Imp S,выша́гивай
Imp PL,выша́гивайте
