Infinitive,вы́мокнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́мокший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́мокши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́мокну
2nd Sing,вы́мокнешь
3rd Sing,вы́мокнет
1st Pl,вы́мокнем
2nd Pl,вы́мокнете
3rd Pl,вы́мокнут
Past M,вы́мок
Past F,вы́мокла
Past N,вы́мокло
Past PL,вы́мокли
Imp S,вы́мокни
Imp PL,вы́мокните
