Infinitive,вы́ползти
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́ползший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ползши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́ползу
2nd Sing,вы́ползешь
3rd Sing,вы́ползет
1st Pl,вы́ползем
2nd Pl,вы́ползете
3rd Pl,вы́ползут
Past M,вы́полз
Past F,вы́ползла
Past N,вы́ползло
Past PL,вы́ползли
Imp S,вы́ползи
Imp PL,вы́ползите
