Infinitive,вы́толкать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́толкавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́толканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́толкав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́толкавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́толкаю
2nd Sing,вы́толкаешь
3rd Sing,вы́толкает
1st Pl,вы́толкаем
2nd Pl,вы́толкаете
3rd Pl,вы́толкают
Past M,вы́толкал
Past F,вы́толкала
Past N,вы́толкало
Past PL,вы́толкали
Imp S,вы́толкай
Imp PL,вы́толкайте
