Infinitive,вы́полнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́полнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́полненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́полнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́полнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́полню
2nd Sing,вы́полнишь
3rd Sing,вы́полнит
1st Pl,вы́полним
2nd Pl,вы́полните
3rd Pl,вы́полнят
Past M,вы́полнил
Past F,вы́полнила
Past N,вы́полнило
Past PL,вы́полнили
Imp S,вы́полни
Imp PL,вы́полните
