Infinitive,вы́нести
Zaliznyak Class,7a⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́несший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́несенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́неся
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́несши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́несу
2nd Sing,вы́несешь
3rd Sing,вы́несет
1st Pl,вы́несем
2nd Pl,вы́несете
3rd Pl,вы́несут
Past M,вы́нес
Past F,вы́несла
Past N,вы́несло
Past PL,вы́несли
Imp S,вы́неси
Imp PL,вы́несите
