Infinitive,выздора́вливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выздора́вливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выздора́вливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выздора́вливая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выздора́вливав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выздора́вливавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выздора́вливаю
2nd Sing,выздора́вливаешь
3rd Sing,выздора́вливает
1st Pl,выздора́вливаем
2nd Pl,выздора́вливаете
3rd Pl,выздора́вливают
Past M,выздора́вливал
Past F,выздора́вливала
Past N,выздора́вливало
Past PL,выздора́вливали
Imp S,выздора́вливай
Imp PL,выздора́вливайте
