Infinitive,выпя́чивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выпя́чивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выпя́чивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выпя́чиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выпя́чивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выпя́чивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выпя́чивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выпя́чиваю
2nd Sing,выпя́чиваешь
3rd Sing,выпя́чивает
1st Pl,выпя́чиваем
2nd Pl,выпя́чиваете
3rd Pl,выпя́чивают
Past M,выпя́чивал
Past F,выпя́чивала
Past N,выпя́чивало
Past PL,выпя́чивали
Imp S,выпя́чивай
Imp PL,выпя́чивайте
