Infinitive,выясня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выясня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выясня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выясня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выясня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выясня́юсь
2nd Sing,выясня́ешься
3rd Sing,выясня́ется
1st Pl,выясня́емся
2nd Pl,выясня́етесь
3rd Pl,выясня́ются
Past M,выясня́лся
Past F,выясня́лась
Past N,выясня́лось
Past PL,выясня́лись
Imp S,выясня́йся
Imp PL,выясня́йтесь
