Infinitive,выпры́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выпры́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выпры́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выпры́гивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выпры́гивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выпры́гивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выпры́гиваю
2nd Sing,выпры́гиваешь
3rd Sing,выпры́гивает
1st Pl,выпры́гиваем
2nd Pl,выпры́гиваете
3rd Pl,выпры́гивают
Past M,выпры́гивал
Past F,выпры́гивала
Past N,выпры́гивало
Past PL,выпры́гивали
Imp S,выпры́гивай
Imp PL,выпры́гивайте
