Infinitive,вы́яснить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́яснивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ясненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́яснив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́яснивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ясню
2nd Sing,вы́яснишь
3rd Sing,вы́яснит
1st Pl,вы́ясним
2nd Pl,вы́ясните
3rd Pl,вы́яснят
Past M,вы́яснил
Past F,вы́яснила
Past N,вы́яснило
Past PL,вы́яснили
Imp S,вы́ясни
Imp PL,вы́ясните
