Infinitive,вы́ковать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ковавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́кованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ковав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ковавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́кую
2nd Sing,вы́куешь
3rd Sing,вы́кует
1st Pl,вы́куем
2nd Pl,вы́куете
3rd Pl,вы́куют
Past M,вы́ковал
Past F,вы́ковала
Past N,вы́ковало
Past PL,вы́ковали
Imp S,вы́куй
Imp PL,вы́куйте
