Infinitive,вы́воротить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́воротивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́вороченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́воротив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́воротивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ворочу
2nd Sing,вы́воротишь
3rd Sing,вы́воротит
1st Pl,вы́воротим
2nd Pl,вы́воротите
3rd Pl,вы́воротят
Past M,вы́воротил
Past F,вы́воротила
Past N,вы́воротило
Past PL,вы́воротили
Imp S,вы́вороти
Imp PL,вы́воротите
