Infinitive,вы́тянуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́тянувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́тянувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́тянусь
2nd Sing,вы́тянешься
3rd Sing,вы́тянется
1st Pl,вы́тянемся
2nd Pl,вы́тянетесь
3rd Pl,вы́тянутся
Past M,вы́тянулся
Past F,вы́тянулась
Past N,вы́тянулось
Past PL,вы́тянулись
Imp S,вы́тянись
Imp PL,вы́тянитесь
