Infinitive,вы́мести
Zaliznyak Class,7a⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́метший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́метенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́метя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́метши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́мету
2nd Sing,вы́метешь
3rd Sing,вы́метет
1st Pl,вы́метем
2nd Pl,вы́метете
3rd Pl,вы́метут
Past M,вы́мел
Past F,вы́мела
Past N,вы́мело
Past PL,вы́мели
Imp S,вы́мети
Imp PL,вы́метите
