Infinitive,вы́явить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́явивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́явленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́явив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́явивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́явлю
2nd Sing,вы́явишь
3rd Sing,вы́явит
1st Pl,вы́явим
2nd Pl,вы́явите
3rd Pl,вы́явят
Past M,вы́явил
Past F,вы́явила
Past N,вы́явило
Past PL,вы́явили
Imp S,вы́яви
Imp PL,вы́явите
