Infinitive,вытесня́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вытесня́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вытесня́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вытесня́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вытесня́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,вытесня́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,вытесня́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,вытесня́ю
2nd Sing,вытесня́ешь
3rd Sing,вытесня́ет
1st Pl,вытесня́ем
2nd Pl,вытесня́ете
3rd Pl,вытесня́ют
Past M,вытесня́л
Past F,вытесня́ла
Past N,вытесня́ло
Past PL,вытесня́ли
Imp S,вытесня́й
Imp PL,вытесня́йте
