Infinitive,вы́бежать
Zaliznyak Class,5a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́бежавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́бежав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́бежавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́бегу
2nd Sing,вы́бежишь
3rd Sing,вы́бежит
1st Pl,вы́бежим
2nd Pl,вы́бежите
3rd Pl,вы́бегут
Past M,вы́бежал
Past F,вы́бежала
Past N,вы́бежало
Past PL,вы́бежали
Imp S,вы́беги
Imp PL,вы́бегите
