Infinitive,вы́страдать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́страдавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́страданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́страдав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́страдавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́страдаю
2nd Sing,вы́страдаешь
3rd Sing,вы́страдает
1st Pl,вы́страдаем
2nd Pl,вы́страдаете
3rd Pl,вы́страдают
Past M,вы́страдал
Past F,вы́страдала
Past N,вы́страдало
Past PL,вы́страдали
Imp S,вы́страдай
Imp PL,вы́страдайте
