Infinitive,вырисо́вываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вырисо́вывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вырисо́вывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вырисо́вываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вырисо́вывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вырисо́вываюсь
2nd Sing,вырисо́вываешься
3rd Sing,вырисо́вывается
1st Pl,вырисо́вываемся
2nd Pl,вырисо́вываетесь
3rd Pl,вырисо́вываются
Past M,вырисо́вывался
Past F,вырисо́вывалась
Past N,вырисо́вывалось
Past PL,вырисо́вывались
Imp S,вырисо́вывайся
Imp PL,вырисо́вывайтесь
