Infinitive,выхва́тывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выхва́тывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выхва́тывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выхва́тываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выхва́тывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выхва́тывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выхва́тывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выхва́тываю
2nd Sing,выхва́тываешь
3rd Sing,выхва́тывает
1st Pl,выхва́тываем
2nd Pl,выхва́тываете
3rd Pl,выхва́тывают
Past M,выхва́тывал
Past F,выхва́тывала
Past N,выхва́тывало
Past PL,выхва́тывали
Imp S,выхва́тывай
Imp PL,выхва́тывайте
