Infinitive,вы́пучить
Zaliznyak Class,4a③
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́пучивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́пученный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́пучив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́пучивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́пучу
2nd Sing,вы́пучишь
3rd Sing,вы́пучит
1st Pl,вы́пучим
2nd Pl,вы́пучите
3rd Pl,вы́пучат
Past M,вы́пучил
Past F,вы́пучила
Past N,вы́пучило
Past PL,вы́пучили
Imp S,вы́пучи
Imp PL,вы́пучьте
