Infinitive,вы́нуть
Zaliznyak Class,3a②
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ну
2nd Sing,вы́нешь
3rd Sing,вы́нет
1st Pl,вы́нем
2nd Pl,вы́нете
3rd Pl,вы́нут
Past M,вы́нул
Past F,вы́нула
Past N,вы́нуло
Past PL,вы́нули
Imp S,вы́нь
Imp PL,вы́ньте
