Infinitive,выдыха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выдыха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выдыха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выдыха́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выдыха́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выдыха́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выдыха́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выдыха́ю
2nd Sing,выдыха́ешь
3rd Sing,выдыха́ет
1st Pl,выдыха́ем
2nd Pl,выдыха́ете
3rd Pl,выдыха́ют
Past M,выдыха́л
Past F,выдыха́ла
Past N,выдыха́ло
Past PL,выдыха́ли
Imp S,выдыха́й
Imp PL,выдыха́йте
