Infinitive,выбива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выбива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выбива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выбива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выбива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выбива́юсь
2nd Sing,выбива́ешься
3rd Sing,выбива́ется
1st Pl,выбива́емся
2nd Pl,выбива́етесь
3rd Pl,выбива́ются
Past M,выбива́лся
Past F,выбива́лась
Past N,выбива́лось
Past PL,выбива́лись
Imp S,выбива́йся
Imp PL,выбива́йтесь
