Infinitive,выпада́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выпада́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выпада́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выпада́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выпада́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выпада́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выпада́ю
2nd Sing,выпада́ешь
3rd Sing,выпада́ет
1st Pl,выпада́ем
2nd Pl,выпада́ете
3rd Pl,выпада́ют
Past M,выпада́л
Past F,выпада́ла
Past N,выпада́ло
Past PL,выпада́ли
Imp S,выпада́й
Imp PL,выпада́йте
