Infinitive,вы́смеять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́смеявший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́смеянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́смеяв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́смеявши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́смею
2nd Sing,вы́смеешь
3rd Sing,вы́смеет
1st Pl,вы́смеем
2nd Pl,вы́смеете
3rd Pl,вы́смеют
Past M,вы́смеял
Past F,вы́смеяла
Past N,вы́смеяло
Past PL,вы́смеяли
Imp S,вы́смей
Imp PL,вы́смейте
